country,new,all,cure,death
美国,34420,16073813,9340220,300195
印度,29398,9796769,9290834,142186
巴西,53347,6781799,6043219,179765
俄罗斯,28206,2574319,2041006,45370
法国,13732,2391643,180348,57044
英国,21057,1792612,3794,63179
意大利,16998,1787147,1027994,62626
西班牙,4595,1734386,196958,47344
阿根廷,6994,1482216,1318187,40431
哥伦比亚,7778,1399911,1296420,38484
德国,28823,1287092,951923,21195
墨西哥,11897,1217126,896130,112326
波兰,13105,1115201,815356,22174
伊朗,9384,1092407,787853,51727
秘鲁,2490,979111,914600,36499
土耳其,30424,955766,452593,15751
乌克兰,13893,895620,499182,15278
南非,8166,836764,756671,22747
印度尼西亚,6310,605243,496886,18511
荷兰,8948,604311,7651,10049
比利时,2754,600397,33687,17692
伊拉克,1347,572600,503897,12549
捷克,5872,569205,497828,9341
智利,1534,567974,541345,15782
罗马尼亚,6460,545567,443168,13116
孟加拉,1884,487849,414318,6986
菲律宾,1499,447039,409329,8709
加拿大,6689,446451,361558,13151
巴基斯坦,3047,432327,379092,8653
摩洛哥,3345,391529,345934,6492
瑞士,5136,373831,288400,5888
沙特阿拉伯,309,359583,350108,6023
以色列,1690,353269,333900,2969
葡萄牙,8214,340287,263648,5373
瑞典,7370,320098,4917,7514
奥地利,2893,316581,273503,4289
匈牙利,6197,271200,78700,6622
塞尔维亚,6534,255758,0,2227
约旦,2902,253121,209746,3286
尼泊尔,1044,246694,232872,1674
厄瓜多尔,1151,200379,174188,13850
巴拿马,2447,185424,157888,3287
哈萨克斯坦,973,183630,155338,2550
格鲁吉亚,4146,183099,150461,1694
阿联酋,1196,182601,162435,607
日本,2794,175170,144858,2445
保加利亚,3075,174568,75232,5405
克罗地亚,4396,168388,140898,2484
阿塞拜疆,4381,167155,103550,1840
白俄罗斯,1967,156359,133930,1246
多米尼加,1560,151721,118877,2359
哥斯达黎加,1127,149815,109855,1882
玻利维亚,325,146385,125716,9008
亚美尼亚,1077,146317,123474,2445
科威特,291,145495,141259,910
黎巴嫩,1778,142187,95737,1170
卡塔尔,164,140680,138194,240
危地马拉,659,127786,117013,4376
斯洛伐克,2166,127087,93533,1122
阿曼,179,125669,117327,1463
摩尔多瓦,1715,122685,105238,2500
希腊,1533,121253,23074,3370
埃及,445,120147,104281,6854
埃塞俄比亚,526,115360,88975,1779
洪都拉斯,415,113207,50948,2968
突尼斯,958,107814,82193,3758
巴勒斯坦,1743,106622,81166,931
委内瑞拉,428,106280,101384,938
缅甸,1376,105863,84338,2220
丹麦,3076,104103,77448,927
波黑,1286,98603,62592,3199
斯洛文尼亚,1812,93734,70733,1998
巴拉圭,812,90958,64527,1914
阿尔及利亚,565,90579,59135,2564
肯尼亚,644,90305,71254,1568
利比亚,697,89880,59839,1278
巴林,137,88632,86684,347
立陶宛,3066,86949,36168,764
马来西亚,1810,80309,67173,402
吉尔吉斯斯坦,327,76718,69341,1307
爱尔兰,303,75203,23364,2117
乌兹别克斯坦,166,74664,71921,611
尼日利亚,675,71344,65474,1190
北马其顿,929,70883,47364,2051
新加坡,8,58305,58192,29
加纳,116,52738,51518,326
阿富汗,63,48116,38141,1945
阿尔巴尼亚,873,46061,23609,965
韩国,688,40786,31157,572
萨尔瓦多,0,40741,37172,1186
挪威,426,40194,17998,387
黑山,558,40165,29054,566
卢森堡,1561,40037,30898,384
斯里兰卡,774,31149,22831,146
芬兰,501,30073,20000,442
澳大利亚,12,28012,25667,908
乌干达,671,25730,9605,220
喀麦隆,211,24963,23344,443
拉脱维亚,680,24386,1866,319
科特迪瓦,43,21590,21203,133
苏丹,384,20468,11673,1319
赞比亚,70,18161,17329,365
马达加斯加,0,17473,16927,255
爱沙尼亚,358,16956,10533,142
塞内加尔,127,16893,16015,345
莫桑比克,81,16521,14715,139
安哥拉,121,15925,8679,362
纳米比亚,475,15773,14218,158
刚果（金）,173,14169,12208,350
塞浦路斯,363,13649,2057,70
几内亚,43,13368,12598,79
马尔代夫,34,13308,12621,47
塔吉克斯坦,37,12588,12009,88
博茨瓦纳,443,12501,9940,37
牙买加,140,11509,7667,270
佛得角,11,11203,10836,109
津巴布韦,74,11081,9253,305
马耳他,96,10980,8935,166
毛里塔尼亚,163,10268,7957,210
海地,35,9434,8170,233
加蓬,22,9300,9155,62
古巴,75,9181,8212,136
伯利兹,286,8805,4141,183
叙利亚,112,8787,4174,476
乌拉圭,383,8487,5747,90
巴哈马,6,7585,6032,163
安道尔,28,7190,6505,78
特立尼达和多巴哥,25,6833,6060,122
斯威士兰,21,6633,6221,126
卢旺达,71,6349,5789,53
马拉维,2,6053,5489,186
刚果（布）,275,6049,4988,99
尼加拉瓜,0,5887,4225,162
圭亚那,79,5811,4925,154
吉布提,0,5717,5605,61
马里,107,5576,3502,184
冰岛,15,5539,5323,28
苏里南,4,5337,5218,117
赤道几内亚,17,5183,5048,85
中非共和国,0,4927,1924,63
索马里,0,4579,3529,121
泰国,11,4180,3903,60
冈比亚,3,3779,3645,123
布基纳法索,110,3579,2792,69
多哥,31,3182,2714,66
贝宁,0,3090,2972,44
几内亚比绍,0,2444,2337,44
塞拉利昂,1,2435,1847,74
莱索托,36,2214,1302,44
尼日尔,48,2126,1249,80
新西兰,4,2092,2010,25
也门,2,2081,1383,606
圣马力诺,74,1908,1555,50
乍得,7,1739,1587,102
利比里亚,0,1676,1358,83
列支敦士登公国,25,1466,1296,20
越南,6,1391,1238,35
蒙古,7,905,384,0
布隆迪,1,721,640,1
钻石号邮轮,0,712,699,13
巴布亚新几内亚,0,684,601,8
摩纳哥,2,657,591,3
厄立特里亚,7,656,525,0
科摩罗,0,617,605,7
毛里求斯,0,515,478,10
坦桑尼亚,0,509,183,21
不丹,1,434,395,0
柬埔寨,1,357,307,0
巴巴多斯,1,291,269,7
圣卢西亚,0,270,169,2
塞舌尔,3,187,182,0
文莱,0,152,147,3
安提瓜和巴布达,0,146,138,4
圣文森特和格林纳丁斯,3,94,81,0
多米尼克,0,85,76,0
斐济,0,44,35,2
格林纳达,0,43,41,0
老挝,0,41,33,0
马提尼克岛,5,37,0,1
东帝汶,0,31,30,0
梵蒂冈,0,27,15,0
圣基茨和尼维斯,1,26,23,0
所罗门群岛,0,17,5,0
马绍尔群岛,0,4,4,0
瓦努阿图,0,1,1,0
