country,new,all,cure,death
美国,230982,17626770,10291057,317928
印度,22890,9979447,9520827,144789
巴西,69826,7110434,6301547,184827
俄罗斯,27787,2736727,2181696,48568
法国,18278,2483524,187199,59733
土耳其,27515,1955680,1721607,17364
英国,35500,1954268,4123,66150
意大利,18233,1906377,1203814,67220
西班牙,11081,1805633,196958,48777
阿根廷,7326,1524372,1352556,41534
哥伦比亚,12196,1468795,1343819,39787
德国,25826,1454009,1078944,25027
墨西哥,11799,1289298,953762,116487
波兰,11953,1171854,903349,24345
伊朗,7453,1138530,856513,53095
秘鲁,3327,989457,924120,36858
乌克兰,12474,957692,569200,16579
南非,9126,892813,780313,24011
荷兰,92,662943,8324,10408
印度尼西亚,7354,643508,526979,19390
