country,new,all,cure,death
美国,1889194,17626770,10291057,317928
印度,1758355,9979447,9520827,144789
巴西,705783,7110434,6301547,184827
俄罗斯,564506,2736727,2181696,48568
法国,322534,2483524,187199,59733
西班牙,311668,1955680,1721607,17364
英国,301767,1954268,4123,66150
意大利,235643,1906377,1203814,67220
阿根廷,153801,1805633,196958,48777
哥伦比亚,111035,1524372,1352556,41534
墨西哥,186303,1468795,1343819,39787
德国,240300,1454009,1078944,25027
波兰,184666,1289298,953762,116487
伊朗,174754,1171854,903349,24345
秘鲁,118946,1138530,856513,53095
南非,156528,989457,924120,36858
乌克兰,268911,957692,569200,16579
土耳其,205723,892813,780313,24011
比利时,130587,662943,8324,10408
伊拉克,69384,643508,526979,19390
智利,60390,618204,0,18371
印度尼西亚,61792,602404,522649,10036
荷兰,27975,580449,515321,12650
捷克,40041,578732,551200,16007
罗马尼亚,81171,577446,477139,13969
孟加拉,64607,496975,431590,7192
菲律宾,59564,492582,403667,13940
巴基斯坦,34377,454447,419902,8850
加拿大,68569,451494,399852,9164
摩洛哥,62998,409746,369998,6804
沙特阿拉伯,61717,399511,311500,6487
以色列,14560,367975,342985,3050
瑞士,49804,362616,287028,5902
葡萄牙,49176,360516,351365,6091
奥地利,97005,357466,4917,7893
瑞典,65974,332828,294315,4982
尼泊尔,74301,291549,86954,7538
约旦,74534,287730,15913,2529
匈牙利,63183,269806,233390,3496
厄瓜多尔,28699,251692,240363,1749
塞尔维亚,72179,204249,177951,13932
阿联酋,27303,203295,168238,3481
巴拿马,29733,201368,169282,1953
日本,28360,191460,127064,2088
保加利亚,26484,190950,158131,2661
玻利维亚,42110,189866,166541,629
多米尼加,36380,189551,161561,2615
科威特,45023,188288,93728,6339
哥斯达黎加,47293,186963,161563,2955
格鲁吉亚,36447,167731,145397,1299
卡塔尔,16994,157305,122205,2375
白俄罗斯,25143,156388,124907,1980
亚美尼亚,18065,153049,106712,1248
哈萨克斯坦,14832,151392,129990,2581
克罗地亚,21750,148665,127155,9031
黎巴嫩,15275,147192,143113,913
阿塞拜疆,25064,142133,102737,1378
阿曼,27028,141557,139243,242
危地马拉,14573,131919,114230,2674
埃及,13674,131435,119748,4551
埃塞俄比亚,12750,128710,23074,3948
摩尔多瓦,20680,127019,119009,1483
洪都拉斯,19589,124366,86192,992
希腊,16415,123701,105919,7015
斯洛伐克,9838,118481,99751,1831
委内瑞拉,17597,117755,92979,1078
突尼斯,21224,115966,87884,4032
缅甸,21890,115474,53499,3021
波黑,24376,113082,91537,2377
巴勒斯坦,26189,109081,103741,975
巴林,16400,104087,69495,3549
肯尼亚,18885,103028,45113,933
阿尔及利亚,21371,102043,79193,2233
巴拉圭,16145,97028,69351,2032
利比亚,8502,93933,62089,2640
丹麦,14113,93405,74999,1618
斯洛文尼亚,7517,93283,63231,1337
吉尔吉斯斯坦,13948,89743,87846,349
乌兹别克斯坦,21384,89133,74030,432
爱尔兰,5703,78415,71656,1321
尼日利亚,7649,77678,23364,2143
马来西亚,11402,76251,52413,2225
北马其顿,16471,76207,67110,1201
立陶宛,13029,75538,72810,612
新加坡,6158,58377,58252,29
加纳,1170,53553,52266,331
阿富汗,6126,51424,26898,1055
萨尔瓦多,6397,49378,38505,2025
阿尔巴尼亚,13719,47515,33982,645
挪威,6282,43279,34609,428
黑山,7792,42995,33049,614
韩国,7258,42776,17998,404
卢森堡,8227,42397,38481,1227
澳大利亚,7252,35387,26353,160
芬兰,6066,32228,22500,484
斯里兰卡,6288,29361,10172,228
喀麦隆,6398,28535,19072,394
科特迪瓦,5490,28093,25699,908
乌干达,6034,25472,23851,445
苏丹,3780,22265,12873,1408
拉脱维亚,5023,21772,21401,133
赞比亚,4995,20004,12533,164
马达加斯加,1760,18504,17680,369
塞内加尔,1332,17607,15373,164
莫桑比克,1817,17587,16992,259
安哥拉,1943,17451,16384,355
纳米比亚,2914,17256,15257,145
几内亚,2952,16484,9266,382
马尔代夫,4854,16190,2057,85
刚果（金）,3053,15089,13010,366
爱沙尼亚,1259,13485,12773,80
塔吉克斯坦,794,13418,12828,48
塞浦路斯,2593,13014,10535,38
佛得角,2306,12852,12295,89
牙买加,3193,11968,8525,279
博茨瓦纳,1820,11866,9836,314
津巴布韦,1523,11805,8372,254
马耳他,1895,11502,11137,110
海地,1943,11475,9670,182
加蓬,3203,11436,7406,105
毛里塔尼亚,1139,9791,4779,213
古巴,1172,9771,8770,137
叙利亚,2074,9759,4616,571
巴哈马,1778,9627,8310,234
安道尔,2392,9373,9223,63
